exactly,1
why,2
i,3
will,4
never,5
buy,6
sony,7
.,8
those,9
1st,10
class,11
ass,12
kissers,13
are,14
dick,15
pulling,16
the,17
media,18
for,19
high,20
scores,21
on,22
future,23
games,24
lol,25
@tomwarren,26
@greetmytweet_,27
hahah,28
have,29
not,30
had,31
one,32
since,33
monday,34
",",35
and,36
it,37
was,38
supposed,39
to,40
be,41
expedited,42
here,43
tmobile,44
is,45
a,46
joke,47
needs,48
change,49
their,50
name,51
tmaybe,52
because,53
you,54
may,55
or,56
service,57
@johnlegere,58
my,59
experience,60
has,61
been,62
he,63
switched,64
in,65
april,66
do,67
care,68
?,69
call,70
every,71
month,72
#tmobilesucks,73
@adamploski,74
@sprint,75
texts,76
arent,77
working,78
again,79
.for,80
2nd,81
day,82
row,83
c'mon,84
#sprint,85
!,86
u,87
got,88
me,89
feeling,90
like,91
customer,92
:\,93
this,94
shit,95
gotta,96
go,97
going,98
back,99
at&amp;t,100
friday,101
know,102
how,103
am,104
friends,105
with,106
masotti,107
kid,108
awful,109
taste,110
movies,111
ted,112
2,113
worst,114
movie,115
ever,116
made,117
gave,118
6,119
.5,120
antman,121
dec,122
now,123
time,124
southpaw,125
@pecunium,126
edge,127
of,128
tomorrow,129
yet,130
another,131
tom,132
cruise,133
which,134
say,135
too,136
long,137
blew,138
up,139
much,140
&amp;,141
needed,142
better,143
end,144
really,145
think,146
gives,147
about,148
scottish,149
opinion,150
",he",151
bloody,152
tory,153
after,154
all,155
https://t,156
.co/nukghc33b4,157
@iankingsky,158
read,159
such,160
scaremongering,161
bullshit,162
led,163
sun,164
newspaper,165
as,166
wrote,167
life,168
theresa,169
her,170
desire,171
win,172
over,173
dunderheads,174
who,175
vote,176
leadership,177
elections,178
does,179
personify,180
stupid,181
party,182
glad,183
tories,184
won,185
general,186
election,187
they,188
showing,189
just,190
insensitive,191
give,192
fuck,193
daphne_miles,194
@laboureoin,195
@juliehunt1953,196
yes,197
afraid,198
we,199
reminded,200
government,201
heartless,202
then,203
so,204
cameron,205
lost,206
telegraph,207
#refugeecrisis,208
supports,209
him,210
right,211
want,212
drowned,213
children,214
beaches,215
level,216
hatred,217
towards,218
reached,219
new,220
http://t,221
.co/1jf794isjf,222
.@edwardjdavey,223
blasts,224
attack,225
green,226
agenda,227
guardian,228
today:,229
.co/rtwo4ca09b,230
#libdemfightback,231
people,232
realize,233
lies,234
that,235
come,236
out,237
mouths,238
"""hard",239
"families""",240
.co/jv0oujuyn4,241
join,242
@right2strike,243
next,244
wednesday,245
exposing,246
hypocrisy,247
at,248
department,249
business,250
innovation,251
skills:,252
.co/z4zcr0xjwx,253
reminder,254
if,255
voted,256
youre,257
still,258
fucking,259
selfish,260
twat,261
4,262
months,263
@katiekhaleesi,264
nothing,265
but,266
disgusting,267
mouth,268
piece,269
rag,270
would,271
line,272
hamster,273
cage,274
underestimate,275
stupidity,276
backbenchers,277
nor,278
#corbyn4leader,279
could,280
#ge2020,281
.co/p9duoyzczr,282
roll,283
saturday,284
beyond,285
looking,286
forward,287
an,288
opposition,289
leader,290
fight,291
eternal,292
enemythe,293
anti,294
iran,295
show,296
:,297
beck,298
crazy,299
messianic,300
nut,301
job,302
trump,303
fascist,304
reality,305
panderer,306
cruz,307
quitter,308
palin,309
wow,310
wonder,311
make,312
america,313
great,314
klangs,315
slogan,316
.co/qrfmt4mbwv,317
funny,318
yeah,319
million,320
other,321
idiots,322
@mrmikecalta,323
fix,324
july,325
13th,326
",really",327
damn,328
anymore,329
greek,330
politics,331
.do,332
tsipras,333
samaras,334
.greece,335
sold,336
enemy,337
there's,338
simple,339
solution,340
deport,341
far,342
wing,343
ukip,344
voting,345
cocksuckers,346
.co/kfan0z7s15,347
ffs,348
enough,349
daily,350
mail,351
front,352
national,353
reactionary,354
purveyors,355
.co/jtrlhgchxh,356
@barongraham,357
understand,358
support,359
them,360
totally,361
despise,362
racist,363
bigoted,364
beasts,365
average,366
infinite,367
reasons,368
valentine's,369
holiday,370
human,371
existence,372
.co/rtxbo4dj1x,373
retweet,374
michelle,375
obama,376
lady,377
.co/mypmcolfe8,378
@marklevinshow,379
us,380
constitutionless,381
dictatorship,382
leave,383
white,384
house,385
first,386
adult,387
lifetime,388
proud,389
country,390
most,391
unamerican,392
statement,393
by,394
disgraced,395
rock,396
legend,397
neil,398
young,399
rightly,400
attacking,401
evil,402
monsanto,403
@guardianeco,404
@ianpuddick,405
banned,406
from,407
bbc,408
.co/tcw429b2xt,409
message,410
monsanto:,411
bring,412
money,413
always,414
@govpetershumlin,415
stop,416
monsanto's,417
dream,418
bill,419
senate,420
via,421
@foodandwater,422
.co/fndme9e6ug,423
gmo's,424
very,425
dangerous,426
blame,427
soaring,428
suicide,429
rates,430
among,431
farmers,432
india:,433
india,434
r,435
.co/qleced6bem,436
@inhabitat,437
move,438
cigarette,439
companies,440
special,441
place,442
near,443
#whyiwouldmakeagreatpresident,444
@hongkonghermit,445
@polymumofeight,446
